"REQ. TIME","DEVICE ID","IP ADDRESS","LOCATION","COUNTRY","CARRIER","APP BUNDLE","MAKE","MODEL","CONNECTION TYPE","GEO TYPE"
"2024-09-08 05:12:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.186.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 21:23:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2025-02-12 21:23:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2025-02-12 21:23:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:58:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 21:22:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-09-23 04:45:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.181.64","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 21:24:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-09-14 04:47:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.186.52","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-06 04:31:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-21 05:00:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-21 05:00:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-25 19:23:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","103.170.179.60","32.87089, 74.24383","pk","netpoint it & communications pvt.","com.callapp.contacts","vivo","v2066","Wifi","GPS/Location Services"
"2024-12-01 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Wifi","GPS/Location Services"
"2024-09-14 04:47:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.186.52","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-10-08 15:26:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-09-25 04:50:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
